Image1,Image2,Label1,Label2
2024-06-22_chunk_2/1/2024-06-22T15-24-15_FLAG_P_FID_1527_OID_1446g0_ctw-cf-2c-108_1719044401_1719044655_1527.jpg,2024-06-22_chunk_2/2/2024-06-22T11-13-20_FLAG_P_FID_1197_OID_855g0_ctw-cf-1c-050_1719029401_1719029600_1197.jpg,1,2
2024-06-22_chunk_5/1/2024-06-22T12-06-51_FLAG_P_FID_672_OID_368g0_ctw-cf-1c-047_1719032700_1719032811_672.jpg,2024-06-22_chunk_1/2/2024-06-22T10-32-05_FLAG_P_FID_748_OID_1022g0_ctw-cf-1c-050_1719027001_1719027125_748.jpg,1,2
2024-06-22_chunk_4/3/2024-06-22T14-40-37_FLAG_P_FID_228_OID_808g0_ctw-cf-3a-186_1719042000_1719042037_228.jpg,2024-06-22_chunk_6/1/2024-06-22T15-19-06_FLAG_P_FID_1478_OID_1433g0_ctw-cf-2c-092_1719044100_1719044346_1478.jpg,3,1
2024-06-22_chunk_2/0/2024-06-22T14-18-21_FLAG_P_FID_1209_OID_829g0_ctw-cf-2c-108_1719040500_1719040701_1209.jpg,2024-06-22_chunk_2/0/2024-06-22T14-13-50_FLAG_P_FID_1382_OID_970g0_ctw-cf-2a-128_1719040200_1719040430_1382.jpg,0,0
2024-06-22_chunk_3/0/2024-06-22T15-02-34_FLAG_P_FID_920_OID_75g0_ctw-cf-2a-136_1719043201_1719043354_920.jpg,2024-06-22_chunk_6/1/2024-06-22T12-05-41_FLAG_P_FID_248_OID_254g0_ctw-cf-2a-134_1719032700_1719032741_248.jpg,0,1
2024-06-22_chunk_2/1/2024-06-22T15-22-52_FLAG_P_FID_1034_OID_2231g0_ctw-cf-3c-155_1719044400_1719044572_1034.jpg,2024-06-22_chunk_1/2/2024-06-22T12-52-58_FLAG_P_FID_1068_OID_868g0_ctw-cf-2a-126_1719035401_1719035578_1068.jpg,1,2
2024-06-22_chunk_4/1/2024-06-22T10-47-50_FLAG_P_FID_1027_OID_531g0_ctw-cf-2b-141_1719027900_1719028070_1027.jpg,2024-06-22_chunk_6/0/2024-06-22T10-04-36_FLAG_P_FID_1639_OID_14g0_ctw-cp-3e-176_1719025204_1719025476_1639.jpg,1,0
2024-06-22_chunk_2/2/2024-06-22T13-53-57_FLAG_P_FID_1424_OID_3653g0_ctw-cf-2c-093_1719039000_1719039237_1424.jpg,2024-06-22_chunk_1/0/2024-06-22T11-48-04_FLAG_P_FID_1107_OID_647g0_ctw-cf-3c-158_1719031500_1719031684_1107.jpg,2,0
2024-06-22_chunk_5/0/2024-06-22T10-49-39_FLAG_P_FID_1672_OID_1452g0_ctw-cf-1c-046_1719027901_1719028179_1672.jpg,2024-06-22_chunk_1/1/2024-06-22T13-09-07_FLAG_P_FID_1488_OID_416g0_ctw-cf-1e-067_1719036300_1719036547_1488.jpg,0,1
2024-06-22_chunk_5/0/2024-06-22T10-48-42_FLAG_P_FID_1332_OID_1021g0_ctw-cf-2a-128_1719027901_1719028122_1332.jpg,2024-06-22_chunk_1/1/2024-06-22T12-21-30_FLAG_P_FID_537_OID_979g0_ctw-cf-2a-134_1719033601_1719033690_537.jpg,0,1
2024-06-22_chunk_5/1/2024-06-22T15-07-39_FLAG_P_FID_961_OID_325g0_ctw-cf-1a-023_1719043500_1719043659_961.jpg,2024-06-22_chunk_1/0/2024-06-22T10-51-53_FLAG_P_FID_679_OID_2259g0_ctw-cf-1c-050_1719028201_1719028313_679.jpg,1,0
2024-06-22_chunk_6/1/2024-06-22T11-39-02_FLAG_P_FID_1454_OID_1405g0_ctw-cf-1c-047_1719030900_1719031142_1454.jpg,2024-06-22_chunk_6/2/2024-06-22T15-12-20_FLAG_P_FID_843_OID_415g0_ctw-cf-2a-126_1719043800_1719043940_843.jpg,1,2
2024-06-22_chunk_6/0/2024-06-22T13-33-06_FLAG_P_FID_1114_OID_700g0_ctw-cf-2a-135_1719037801_1719037986_1114.jpg,2024-06-22_chunk_1/1/2024-06-22T13-51-59_FLAG_P_FID_719_OID_5434g0_ctw-cf-3c-163_1719039000_1719039119_719.jpg,0,1
2024-06-22_chunk_5/1/2024-06-22T15-05-19_FLAG_P_FID_119_OID_468g0_ctw-cf-2c-093_1719043500_1719043519_119.jpg,2024-06-22_chunk_1/1/2024-06-22T14-55-32_FLAG_P_FID_196_OID_6806g0_ctw-cf-2a-139_1719042900_1719042932_196.jpg,1,1
2024-06-22_chunk_1/0/2024-06-22T14-11-59_FLAG_P_FID_711_OID_412g0_ctw-cf-2c-095_1719040201_1719040319_711.jpg,2024-06-22_chunk_1/1/2024-06-22T14-09-02_FLAG_P_FID_1449_OID_600g0_ctw-cf-3b-200_1719039901_1719040142_1449.jpg,0,1
2024-06-22_chunk_3/0/2024-06-22T10-20-55_FLAG_P_FID_327_OID_712g0_ctw-cf-1c-048_1719026401_1719026455_327.jpg,2024-06-22_chunk_6/1/2024-06-22T13-07-16_FLAG_P_FID_821_OID_199g0_ctw-cf-3c-156_1719036300_1719036436_821.jpg,0,1
2024-06-22_chunk_3/1/2024-06-22T12-22-11_FLAG_P_FID_784_OID_256g0_ctw-cf-3c-155_1719033601_1719033731_784.jpg,2024-06-22_chunk_5/1/2024-06-22T10-15-27_FLAG_P_FID_159_OID_386g0_ctw-cf-1c-050_1719026101_1719026127_159.jpg,1,1
2024-06-22_chunk_3/1/2024-06-22T12-42-55_FLAG_P_FID_1048_OID_972g0_ctw-cf-1a-080_1719034801_1719034975_1048.jpg,2024-06-22_chunk_5/1/2024-06-22T15-11-49_FLAG_P_FID_661_OID_1716g0_ctw-cf-2c-104_1719043800_1719043909_661.jpg,1,1
2024-06-22_chunk_4/2/2024-06-22T13-54-00_FLAG_P_FID_1443_OID_1742g0_ctw-cf-2e-111_1719039000_1719039240_1443.jpg,2024-06-22_chunk_1/0/2024-06-22T15-21-14_FLAG_P_FID_449_OID_3154g0_ctw-cf-3c-163_1719044400_1719044474_449.jpg,2,0
2024-06-22_chunk_4/1/2024-06-22T13-55-03_FLAG_P_FID_24_OID_2985g0_ctw-cf-3a-195_1719039300_1719039303_24.jpg,2024-06-22_chunk_4/1/2024-06-22T13-37-31_FLAG_P_FID_906_OID_1362g0_ctw-cf-2b-141_1719038101_1719038251_906.jpg,1,1
2024-06-22_chunk_2/0/2024-06-22T11-30-16_FLAG_P_FID_103_OID_345g0_ctw-cf-3c-158_1719030600_1719030616_103.jpg,2024-06-22_chunk_3/0/2024-06-22T14-45-27_FLAG_P_FID_169_OID_4346g0_ctw-cf-2c-091_1719042300_1719042327_169.jpg,0,0
2024-06-22_chunk_6/2/2024-06-22T12-13-46_FLAG_P_FID_1353_OID_360g0_ctw-cf-2e-110_1719033001_1719033226_1353.jpg,2024-06-22_chunk_1/1/2024-06-22T13-26-18_FLAG_P_FID_469_OID_1466g0_ctw-cf-3b-200_1719037501_1719037578_469.jpg,2,1
2024-06-22_chunk_2/0/2024-06-22T12-31-11_FLAG_P_FID_426_OID_145g0_ctw-cf-2d-089_1719034201_1719034271_426.jpg,2024-06-22_chunk_4/1/2024-06-22T14-28-48_FLAG_P_FID_1368_OID_435g0_ctw-cf-1b-007_1719041101_1719041328_1368.jpg,0,1
2024-06-22_chunk_5/1/2024-06-22T12-27-06_FLAG_P_FID_758_OID_2956g0_ctw-cf-1c-050_1719033900_1719034026_758.jpg,2024-06-22_chunk_1/2/2024-06-22T14-40-44_FLAG_P_FID_267_OID_4046g0_ctw-cf-1c-047_1719042000_1719042044_267.jpg,1,2
2024-06-22_chunk_4/2/2024-06-22T13-51-18_FLAG_P_FID_472_OID_2903g0_ctw-cf-2a-128_1719039000_1719039078_472.jpg,2024-06-22_chunk_5/0/2024-06-22T12-04-39_FLAG_P_FID_1763_OID_63g0_ctw-cf-3c-158_1719032401_1719032679_1763.jpg,2,0
2024-06-22_chunk_2/0/2024-06-22T13-49-56_FLAG_P_FID_1796_OID_6263g0_ctw-cf-3c-155_1719038700_1719038996_1796.jpg,2024-06-22_chunk_5/0/2024-06-22T11-29-53_FLAG_P_FID_1760_OID_346g0_ctw-cf-1b-025_1719030300_1719030593_1760.jpg,0,0
2024-06-22_chunk_6/0/2024-06-22T14-15-39_FLAG_P_FID_237_OID_3g0_ctw-cp-3e-176_1719040500_1719040539_237.jpg,2024-06-22_chunk_5/1/2024-06-22T10-55-47_FLAG_P_FID_283_OID_1822g0_ctw-cf-1e-072_1719028501_1719028547_283.jpg,0,1
