img1,img2,label1,label2
000089bb-c41d-4018-a070-27e9e9e05e34/2024-07-01T17-07-15_FLAG_P_FID_804_OID_793g0_ctw-cp-1b-002_1719828301_1719828435_804.jpg,000089bb-c41d-4018-a070-27e9e9e05e34/2024-07-01T17-08-18_FLAG_P_FID_1192_OID_482g0_ctw-cf-2b-149_1719828300_1719828498_1192.jpg,1,0
000089bb-c41d-4018-a070-27e9e9e05e34/2024-07-01T17-07-15_FLAG_P_FID_804_OID_793g0_ctw-cp-1b-002_1719828301_1719828435_804.jpg,000089bb-c41d-4018-a070-27e9e9e05e34/2024-07-01T17-08-24_FLAG_P_FID_1220_OID_254g0_ctw-cf-2b-150_1719828301_1719828504_1220.jpg,1,1
000089bb-c41d-4018-a070-27e9e9e05e34/2024-07-01T17-07-15_FLAG_P_FID_804_OID_793g0_ctw-cp-1b-002_1719828301_1719828435_804.jpg,000089bb-c41d-4018-a070-27e9e9e05e34/2024-07-01T17-29-36_FLAG_P_FID_1656_OID_1335g0_ctw-cf-1b-008_1719829501_1719829776_1656.jpg,1,2
000089bb-c41d-4018-a070-27e9e9e05e34/2024-07-01T17-07-15_FLAG_P_FID_804_OID_793g0_ctw-cp-1b-002_1719828301_1719828435_804.jpg,000089bb-c41d-4018-a070-27e9e9e05e34/2024-07-01T17-30-35_FLAG_P_FID_211_OID_1490g0_ctw-cp-1b-001_1719829800_1719829835_211.jpg,1,2
000089bb-c41d-4018-a070-27e9e9e05e34/2024-07-01T17-08-18_FLAG_P_FID_1192_OID_482g0_ctw-cf-2b-149_1719828300_1719828498_1192.jpg,000089bb-c41d-4018-a070-27e9e9e05e34/2024-07-01T17-08-24_FLAG_P_FID_1220_OID_254g0_ctw-cf-2b-150_1719828301_1719828504_1220.jpg,0,1
000089bb-c41d-4018-a070-27e9e9e05e34/2024-07-01T17-08-18_FLAG_P_FID_1192_OID_482g0_ctw-cf-2b-149_1719828300_1719828498_1192.jpg,000089bb-c41d-4018-a070-27e9e9e05e34/2024-07-01T17-29-36_FLAG_P_FID_1656_OID_1335g0_ctw-cf-1b-008_1719829501_1719829776_1656.jpg,0,2
000089bb-c41d-4018-a070-27e9e9e05e34/2024-07-01T17-08-18_FLAG_P_FID_1192_OID_482g0_ctw-cf-2b-149_1719828300_1719828498_1192.jpg,000089bb-c41d-4018-a070-27e9e9e05e34/2024-07-01T17-30-35_FLAG_P_FID_211_OID_1490g0_ctw-cp-1b-001_1719829800_1719829835_211.jpg,0,2
000089bb-c41d-4018-a070-27e9e9e05e34/2024-07-01T17-08-24_FLAG_P_FID_1220_OID_254g0_ctw-cf-2b-150_1719828301_1719828504_1220.jpg,000089bb-c41d-4018-a070-27e9e9e05e34/2024-07-01T17-29-36_FLAG_P_FID_1656_OID_1335g0_ctw-cf-1b-008_1719829501_1719829776_1656.jpg,1,2
000089bb-c41d-4018-a070-27e9e9e05e34/2024-07-01T17-08-24_FLAG_P_FID_1220_OID_254g0_ctw-cf-2b-150_1719828301_1719828504_1220.jpg,000089bb-c41d-4018-a070-27e9e9e05e34/2024-07-01T17-30-35_FLAG_P_FID_211_OID_1490g0_ctw-cp-1b-001_1719829800_1719829835_211.jpg,1,2
000089bb-c41d-4018-a070-27e9e9e05e34/2024-07-01T17-29-36_FLAG_P_FID_1656_OID_1335g0_ctw-cf-1b-008_1719829501_1719829776_1656.jpg,000089bb-c41d-4018-a070-27e9e9e05e34/2024-07-01T17-30-35_FLAG_P_FID_211_OID_1490g0_ctw-cp-1b-001_1719829800_1719829835_211.jpg,2,2
