Image1,Image2,Label1,Label2
2024-06-22_chunk_2/1/2024-06-22T12-33-48_FLAG_P_FID_1368_OID_1590g0_ctw-cf-2a-134_1719034201_1719034428_1368.jpg,2024-06-22_chunk_8/0/2024-06-22T14-03-52_FLAG_P_FID_1390_OID_202g0_ctw-cf-2e-112_1719039601_1719039832_1390.jpg,1,0
2024-06-22_chunk_8/0/2024-06-22T11-18-51_FLAG_P_FID_1388_OID_555g0_ctw-cf-3a-185_1719029700_1719029931_1388.jpg,2024-06-22_chunk_4/1/2024-06-22T15-12-53_FLAG_P_FID_1044_OID_1767g0_ctw-cf-2a-139_1719043800_1719043973_1044.jpg,0,1
2024-06-22_chunk_4/1/2024-06-22T11-54-16_FLAG_P_FID_1543_OID_1661g0_ctw-cf-2c-094_1719031800_1719032056_1543.jpg,2024-06-22_chunk_6/1/2024-06-22T15-18-33_FLAG_P_FID_1283_OID_1107g0_ctw-cf-3b-200_1719044100_1719044313_1283.jpg,1,1
2024-06-22_chunk_6/1/2024-06-22T15-15-24_FLAG_P_FID_151_OID_1326g0_ctw-cf-2a-134_1719044100_1719044124_151.jpg,2024-06-22_chunk_1/0/2024-06-22T14-34-50_FLAG_P_FID_1737_OID_2108g0_ctw-cf-3a-184_1719041401_1719041690_1737.jpg,1,0
2024-06-22_chunk_2/0/2024-06-22T15-24-38_FLAG_P_FID_1669_OID_799g0_ctw-cf-2c-095_1719044401_1719044678_1669.jpg,2024-06-22_chunk_4/2/2024-06-22T10-32-09_FLAG_P_FID_775_OID_1030g0_ctw-cf-1c-050_1719027001_1719027129_775.jpg,0,2
2024-06-22_chunk_5/0/2024-06-22T11-21-05_FLAG_P_FID_391_OID_1269g0_ctw-cf-1c-048_1719030001_1719030065_391.jpg,2024-06-22_chunk_7/0/2024-06-22T13-05-13_FLAG_P_FID_78_OID_639g0_ctw-cf-1c-049_1719036301_1719036313_78.jpg,0,0
2024-06-22_chunk_5/0/2024-06-22T12-43-24_FLAG_P_FID_1231_OID_2359g0_ctw-cf-2c-091_1719034800_1719035004_1231.jpg,2024-06-22_chunk_7/0/2024-06-22T13-11-46_FLAG_P_FID_639_OID_603g0_ctw-cf-1e-074_1719036600_1719036706_639.jpg,0,0
2024-06-22_chunk_2/1/2024-06-22T12-52-49_FLAG_P_FID_1017_OID_4086g0_ctw-cf-1c-048_1719035400_1719035569_1017.jpg,2024-06-22_chunk_5/2/2024-06-22T12-41-56_FLAG_P_FID_703_OID_2217g0_ctw-cf-1c-047_1719034800_1719034916_703.jpg,1,2
2024-06-22_chunk_1/2/2024-06-22T14-10-56_FLAG_P_FID_332_OID_440g0_ctw-cf-2b-146_1719040201_1719040256_332.jpg,2024-06-22_chunk_6/0/2024-06-22T10-59-56_FLAG_P_FID_1782_OID_680g0_ctw-cf-3c-158_1719028500_1719028796_1782.jpg,2,0
2024-06-22_chunk_7/0/2024-06-22T14-40-01_FLAG_P_FID_3_OID_4513g0_ctw-cf-2c-105_1719042001_1719042001_3.jpg,2024-06-22_chunk_8/2/2024-06-22T11-52-17_FLAG_P_FID_820_OID_544g0_ctw-cf-3c-168_1719031801_1719031937_820.jpg,0,2
2024-06-22_chunk_8/2/2024-06-22T12-19-30_FLAG_P_FID_1621_OID_1358g0_ctw-cf-2c-105_1719033301_1719033570_1621.jpg,2024-06-22_chunk_3/1/2024-06-22T14-07-11_FLAG_P_FID_789_OID_557g0_ctw-cf-2c-093_1719039900_1719040031_789.jpg,2,1
2024-06-22_chunk_4/3/2024-06-22T12-09-42_FLAG_P_FID_1688_OID_284g0_ctw-cf-2b-146_1719032701_1719032982_1688.jpg,2024-06-22_chunk_4/1/2024-06-22T10-32-36_FLAG_P_FID_936_OID_597g0_ctw-cf-2d-090-prox_1719027001_1719027156_936.jpg,3,1
